userId,neighborhoodId,reviewDate,reviewText,likes,community,commute
9185,2457,9/15/2019,Do aliqua nostrud amet laboris irure ex labore commodo eiusmod deserunt labore exercitation. Lorem ut fugiat aliquip officia aliqua adipisicing aute. Proident nostrud nisi voluptate irure laboris esse qui excepteur amet elit adipisicing in non. Do sunt consequat cupidatat minim anim magna magna labore quis reprehenderit non.,89,true,false
3620,9693,2/17/2016,Culpa commodo id culpa ad eu. Fugiat irure laborum qui cupidatat excepteur laborum id exercitation adipisicing occaecat enim elit tempor. Elit nostrud labore sint ut et excepteur id esse culpa.,103,true,true
6296,7531,8/4/2018,Duis exercitation veniam culpa in nostrud dolor aliquip aute. Tempor pariatur veniam tempor occaecat cupidatat mollit adipisicing enim deserunt ex.,36,true,false
2049,3589,11/29/2015,Ipsum eu id ea nostrud reprehenderit exercitation consequat voluptate. Voluptate cupidatat ullamco sunt aliquip magna consequat sint velit mollit.,82,false,false
38,3094,3/16/2020,Aliqua pariatur pariatur id proident incididunt fugiat qui qui ea nostrud. Elit et ad commodo Lorem officia aliquip Lorem est.,1,false,true
3446,4336,10/19/2018,Consectetur amet non anim ea aliqua proident magna fugiat Lorem. Incididunt incididunt deserunt elit ut velit. Commodo sint nulla dolor nisi culpa laborum et qui irure aliqua cillum in et labore tempor.,76,true,true
9741,7301,10/4/2016,Occaecat duis in ex. Dolor exercitation aliqua irure reprehenderit eu aute ad do. Qui aliqua ex proident proident et ex enim duis mollit adipisicing. Do irure et Lorem.,94,true,true
3957,2483,8/4/2015,Nostrud dolore deserunt cupidatat ea pariatur mollit cillum incididunt incididunt minim nostrud officia aliqua adipisicing. Do sunt culpa magna velit esse in adipisicing magna Lorem sit.,111,false,true
9832,5242,11/25/2020,Consectetur deserunt commodo quis ut incididunt velit labore tempor excepteur labore deserunt eiusmod. Officia commodo aliqua et. Adipisicing dolor ad est laboris eu ut Lorem tempor cillum nulla.,20,true,false
2432,8102,11/18/2018,Sunt occaecat et Lorem eiusmod aute ipsum irure sint. Officia veniam do sint officia mollit amet sunt qui qui aliquip elit. Ex officia aute voluptate. Ut Lorem ex mollit labore eu nisi qui non est incididunt aliqua id dolore.,56,true,true
2614,7760,5/23/2018,Id labore esse exercitation non quis do id laborum ipsum. Sit Lorem nisi sunt in. Aute occaecat occaecat aute occaecat incididunt ex aliqua dolor. Nisi qui dolor in ea Lorem amet ex.,79,true,false
880,524,8/6/2018,Laboris ullamco deserunt labore. Elit deserunt esse proident officia eu esse nulla ut eu sunt excepteur ad aliquip. Dolore minim aliqua officia nulla pariatur aliquip laborum ut qui occaecat. Commodo id quis ut.,146,false,true
7957,1924,12/9/2019,Dolor ad nulla anim ea labore ut enim qui laborum consectetur amet deserunt esse. Elit nulla sunt reprehenderit quis et enim id.,34,false,true
1932,6979,8/14/2019,Sit laborum enim adipisicing. Enim elit veniam minim aliqua non amet est nisi voluptate.,1,false,false
99,9599,12/21/2017,Tempor velit eu mollit deserunt irure fugiat occaecat. Ipsum sunt quis enim.,10,true,false
